門型種類,大小捲,種類,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
AL120單層,大捲,角度,-10,34,79,123,166,208,251,294,336,377,417,458,498,537,576,614,652,690,728,765,802,839,875,911,946,981,1016,1051,1085,1119,1153,1187,1220,1253,1286,1319,1351,1383,1414,1445,1477,1508,1539,1570,1601,1631,1662,1692,1722,1751,1780,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120單層,大捲,半徑,154.44,158.92,157.35,160.29,164.58,163.01,165.48,162.39,168,171.98,172.36,172.07,176.31,179.7,179.37,183.45,181.39,186.09,187.68,188.22,187.54,189.7,193.35,195.28,196.51,199.48,198.99,204.49,204.58,205.78,204.31,205.03,208,210.76,212.25,214.51,215.97,217.34,221.99,222.96,223.87,222.16,222.15,223.96,226.12,228.19,229.8,231.92,233.09,235.93,240.73,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120單層,小捲,角度,-70,-20,29,79,128,178,227,276,321,366,412,457,502,546,590,633,674,715,756,797,838,879,919,959,997,1034,1071,1108,1146,1183,1221,1258,1295,1331,1366,1400,1433,1467,1501,1535,1570,1604,1638,1672,1705,1736,1767,1798,1829,1860,1892,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120單層,小捲,半徑,141.95,141.93,142,142.03,142.18,141.98,142.16,150.58,155.64,155.23,154.83,155.23,155.96,157.31,160.1,167.75,172.18,171.21,169.88,169.48,170.07,171.25,172.9,177.1,185.05,190.68,189.31,187.03,185.32,185.27,186.04,187.24,190.03,195.85,202.97,208.29,207.27,205.66,203.08,201.9,202.38,202.8,208.92,208.5,215.04,221.34,225.35,224.26,223.55,221.8,219.23,,,,,,,,,,,,,,,,,,,,,,,,,,
鍍鋁鋅,大捲,角度,-45,-12,20,51,81,111,140,170,199,228,256,285,313,341,369,396,423,449,475,500,526,551,577,602,626,651,676,701,725,749,773,796,819,842,865,887,910,933,955,977,999,1021,1043,1065,1087,1108,1129,1150,1171,1191,1212,1232,1252,1273,1293,1313,1333,1353,1372,1392,1412,1431,1451,1471,1490,1509,1527,1546,1564,1583,1601,1620,1638,1656,1675,1693,1711
鍍鋁鋅,大捲,半徑,145.5,145.47,145.67,153.01,158.41,158.72,159.12,160.53,161.66,163.99,165.34,165.41,167.31,168.15,168.3,172.56,178.37,181.95,181.24,183.2,183.52,184.57,186.39,187.97,188.87,189.63,190.75,189.78,191.41,194.88,200.04,204.58,204.91,205,207.11,206.34,207.19,209.77,211.48,212.54,212.94,213.71,214.44,213.61,214.76,217.63,222.6,227.55,229.08,229.17,229.82,230.35,229.94,230.18,232.07,233.78,236.08,237.02,237.51,238.1,238.04,238.19,238.75,240.58,247.17,249.19,252.42,253.3,253.87,254.41,254.33,254.25,254.58,255.8,256.69,258.12,260.13
鍍鋁鋅,小捲,角度,-45,-10,25,60,95,129,164,199,233,268,302,333,363,393,423,453,482,512,542,571,601,630,660,687,714,740,766,792,818,844,869,895,921,947,973,999,1024,1048,1072,1095,1118,1141,1164,1187,1210,1233,1256,1279,1301,1324,1347,1370,1392,1413,1434,1455,1476,1496,1517,1537,1558,1579,1599,1620,1640,1661,1682,1702,1722,1743,1762,1781,1880,1819,1838,1856,1875
鍍鋁鋅,小捲,半徑,133.25,132.63,135.34,135.33,135.55,135.45,135.44,135.65,135.71,135.71,138.35,155.02,155.87,158.06,157.39,158.46,158,157.84,157.91,158.25,159.74,158.14,160.46,175.3,178.59,180.21,180.69,180.84,181.29,180.88,180.61,181.09,181.25,182,181.9,181.45,185.65,198.32,201.86,203.53,204.12,204.36,204.54,204.46,203.25,204.27,203.39,204.03,205.2,205.58,205.14,206.5,213.83,222.35,225.57,224.98,226.96,227.82,228.49,228.44,227.63,227.52,228.17,226.93,226.25,228.46,228.71,228.79,229.99,234.92,242.21,247.77,249.48,248.13,249.45,248.79,251.48
AL1,大捲,角度,-14,36,84,133,180,228,274,321,366,410,453,496,538,580,621,663,703,743,782,820,859,896,934,971,1009,1045,1081,1117,1152,1187,1221,1255,1289,1323,1357,1391,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1,大捲,半徑,163.4,158.4,163.9,164.4,165.4,164.9,167.9,167.4,176.4,179.4,181.9,185.4,187.9,185.9,188.9,197.4,200.9,201.4,204.4,202.4,207.9,211.4,206.4,207.4,211.4,213.9,218.4,227.9,222.9,223.4,229.4,233.9,226.9,227.4,232.4,239.9,244.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1,小捲,角度,-74,-19,37,92,147,203,258,309,358,407,456,504,552,601,648,691,735,778,821,864,907,950,993,1033,1072,1111,1150,1189,1227,1265,1304,1343,1380,1415,1451,1486,1521,1556,1591,1626,1661,1696,1730,1763,1795,1828,1860,1892,1924,1956,1987,,,,,,,,,,,,,,,,,,,,,,,,,,
AL1,小捲,半徑,140.5,141.98,142.19,142.03,142.15,142.02,142.14,161.92,159.6,161.19,162.58,162.15,161.06,160.96,175.38,181.35,178.78,182.97,183.34,183.71,181.42,180.52,188.17,202.92,200.834,200.59,201.61,204.69,206.49,202.21,201.25,205.41,218.91,222.44,220.42,223.42,222.45,227.18,229.13,223.4,221.93,223.97,234.17,243.97,241.69,242.43,244.2,242.51,248.99,249.72,244.63,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120雙層,大捲,角度,-10,34,78,123,166,209,252,294,336,377,416,455,494,533,570,608,646,683,720,756,791,827,862,897,930,964,998,1032,1066,1099,1132,1164,1196,1228,1259,1290,1320,1351,1382,1413,1448,1474,1503,1532,1562,1591,1619,1647,1675,1703,1732,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120雙層,大捲,半徑,154.44,159.14,156.95,160.39,162.02,162.92,165.74,163.94,169.88,174.52,181.01,174.67,178.61,181.11,185.41,186.62,183.17,186.78,190.4,196.32,199.72,194.66,198.72,201.57,207.63,206.1,202.61,204.19,207.01,211.87,216.94,216.55,215.03,219.26,222.68,230.1,226,222.9,222.55,225.2,228.69,233.61,236.46,235.66,235.92,240.28,244.28,251.39,247.01,243.59,242.1,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120雙層,小捲,角度,-70,-20,29,79,129,174,223,271,315,358,402,445,488,531,574,617,657,696,735,773,811,849,887,925,964,1001,1036,1071,1106,1140,1175,1209,1243,1277,1312,1346,1378,1411,1442,1474,1505,1536,1567,1598,1629,1660,1692,1722,1752,1781,1810,,,,,,,,,,,,,,,,,,,,,,,,,,
AL120雙層,小捲,半徑,140.06,142.45,141.92,142.12,142.08,142.16,141.94,154.03,159.82,163.19,160.49,162.43,163.05,162.36,159.98,168.58,175.85,178.42,183.12,179.53,183.66,183.75,182.35,180.81,183.15,192.14,195.43,199.76,202.29,201.56,203.71,205.11,202.82,200.15,200.79,207.44,213.16,217.01,221.11,221.52,221.32,225.86,225.82,223.67,220.77,219.92,223.84,230.16,235.17,237.62,241.11,,,,,,,,,,,,,,,,,,,,,,,,,,
HS100,大捲,角度,-14,23,60,96,133,169,205,240,276,311,345,378,411,444,477,510,542,574,606,639,670,701,731,761,791,821,851,880,909,939,968,997,1026,1054,1082,1109,1137,1164,1192,1219,1245,1272,1299,1326,1352,1379,1405,1431,1456,1482,1507,,,,,,,,,,,,,,,,,,,,,,,,,,
HS100,大捲,半徑,156.79,158.18,158.45,159.43,160.2,161.57,164.01,164.19,163.22,165.71,174.28,177.39,175.71,173.91,181.86,172.65,181.85,180.22,181.01,180.8,184.33,191.37,194.5,194.49,188.76,192.32,202.73,188.47,201.4,196.74,199.27,198.82,202.08,206.54,211.96,208.67,212.73,202.52,212.11,221.28,206.02,219.53,215.51,216.69,215.04,222.76,218.89,229.24,224.55,223.47,230.86,,,,,,,,,,,,,,,,,,,,,,,,,,
HS100,小捲,角度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS100,小捲,半徑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85型全平面,大捲,角度,-14,17,47,78,108,138,167,197,226,254,283,312,341,368,396,423,450,476,503,529,555,581,607,632,658,684,709,734,758,782,806,830,854,878,901,925,948,971,994,1017,1040,1063,1085,1108,1129,1151,1173,1195,1216,1238,1259,1280,1301,1322,1343,1364,1385,1406,1427,1447,1467,1487,1507,1527,1547,1567,1586,1606,1625,1645,1664,,,,,,
85型全平面,大捲,半徑,156.79,154.38,155.88,156.96,159.59,160.42,160.66,162.19,163.8,166.1,162.83,166.29,168.92,173.85,175.35,175.63,177.16,178.9,181.29,182.54,182.72,183.59,185.43,184,183.3,187.09,190.54,195.06,196.43,196.99,197.52,198.48,200,201.87,202.55,204.31,205.3,206.92,204.63,204.22,207.36,209.72,213.36,215.4,216.42,217.43,218.88,220.08,221.61,223.15,223.32,224.39,225.19,226.1,225.48,224.52,225.83,229.03,231.3,235.43,236.79,237.21,238.02,238.99,239.92,240.79,242.48,243.81,244.42,245.81,246.69,,,,,,
85型全平面,小捲,角度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85型全平面,小捲,半徑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,